PART_KEYWORD,PART_NUMBER,BUCKET_TYPE,PART_COST_AMT,PART_PRICE_AMT,PART_QTY,COST,MODULE,Work order,ESN,GATE_NUMBER,SHOP_NAME,SHOP_VISIT_TYPE_NAME,CURRENT_GATE_DESC,ENG_MODEL_NM,COST_IND,INCL_QUANTITY,EXCL_QUANTITY,INCL_PRICE,EXCL_PRICE,INCL_COST,EXCL_COST,TYPE,FM_YEAR,EXCL_TYPE,COMMENTS,ESC_TRUE_GE_COST_AMT,PART_TRUE_COST_AMT
BLADE - BOOSTER STG 4,340-057-401-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 4,340-057-401-0,Internal Repair,1079.74,3878.97,68.8859,1079.74,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,68.88585663,0,3878.96645,0,1079.744818,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 4,340-057-401-0,Non LLP New Material,2221.66,3937.73,2.775,2221.66,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,2.775000095,0,3610.748258,0,2221.663574,0,BUM,2014,Scrap,,780.66,
BLADE - BOOSTER STG 4,340-057-401-0,Non LLP Used Material,842.51,842.51,0.925,842.51,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.925000012,0,842.5080164,0,842.5080164,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,Internal Repair,1108.34,3981.69,69.992,1108.34,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,69.99204254,0,3981.693208,0,1108.3446,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,Non LLP New Material,2381.34,4223.7,2.925,2381.34,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,2.924999952,0,3870.2589,0,2381.344482,0,BUM,2014,Scrap,,837.02,
BLADE - BOOSTER STG 3,340-057-301-0,Non LLP Used Material,903.06,903.06,0.975,903.06,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.975000024,0,903.0603393,0,903.0603393,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,External Repair,16619.76,16619.76,11.1433,16619.76,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,11.14332676,0,16619.76185,0,16619.76185,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Internal Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Non LLP New Material,25662.72,42075.29,0.45,25662.72,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.450000018,0,42075.28705,0,25662.7207,0,BUM,2014,Scrap,,8209.41,
BLADE - FAN,340-161-303-0,Non LLP Used Material,9817.57,9817.57,0.15,9817.57,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.150000006,0,9817.567807,0,9817.567807,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,Internal Repair,4039.04,14510.17,0.9234,4039.04,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.923423171,0,14510.1662,0,4039.044103,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,Non LLP New Material,1895.9,8970,0.0375,1895.9,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,0,8222.03158,0,1895.897053,0,BUM,2014,Scrap,,1778.23,
VANE - BOOSTER STG 4,340-058-402-0,Non LLP Used Material,1918.47,1918.47,0.0125,1918.47,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.0125,0,1918.474035,0,1918.474035,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,Internal Repair,4785.31,17191.11,0.889,4785.31,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.889010012,0,17191.11247,0,4785.311494,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,Non LLP New Material,1603.6,7582.5,0.0375,1603.6,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,0,6954.432202,0,1603.60454,0,BUM,2014,Scrap,,1503.27,
VANE - BOOSTER STG 1,340-001-308-0,Non LLP Used Material,1622.7,1622.7,0.0125,1622.7,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.0125,0,1622.700847,0,1622.700847,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,Internal Repair,4581.17,16457.75,0.9145,4581.17,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.914495885,0,16457.75185,0,4581.17356,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,Non LLP New Material,1949.95,9221.25,0.0375,1949.95,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,0,8456.450643,0,1949.950842,0,BUM,2014,Scrap,,1827.87,
VANE - BOOSTER STG 3,340-058-302-0,Non LLP Used Material,1973.17,1973.17,0.0125,1973.17,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.0125,0,1973.171817,0,1973.171817,0,BUM,2014,Scrap,,,
